Age,Gender,Country,IncomeUSD,YearsVaped,PodsPerWeek,NicotineStrength_mgml,PurchaseChannel,FlavourFamilies,SweetLike,MentholLike,NewFlavourFreq,SmartwatchDaily,MoodMatchInterest,BoredOfFlavoursPain,NicDependencePain,MoodFitPain,PreferredPackSize,MaxMonthlySpendUSD,SubscribeLikelihood
34,Male,IN,2585,3.1,5.2,19.0,Other,Spice,3,4,4,1,4,5,2,5,6,67.41,6.0
29,Male,DE,2100,2.2,5.7,14.5,Online-direct,"Fruity,Other,Menthol/Fresh",3,5,3,1,5,4,2,3,6,63.13,9.0
35,Male,CA,1980,3.8,8.6,17.6,Vape lounge,"Dessert,Other,Spice",4,2,2,1,4,3,2,5,10,83.37,8.0
42,Male,CA,2925,0.7,3.6,17.4,Online-direct,Spice,2,3,5,1,3,5,3,1,3,35.83,7.0
28,Male,DE,2103,0.1,1.0,9.1,Retail shop,"Fruity,Spice,Beverage",3,4,4,1,5,4,1,4,3,25.76,8.0
28,Female,FR,1362,3.4,4.6,7.4,Online-direct,"Fruity,Beverage",2,4,2,1,3,3,1,3,6,32.83,8.0
43,Male,SG,4359,0.4,3.7,17.9,Friends,"Tobacco,Fruity",5,5,5,0,3,5,3,4,3,76.9,5.0
36,Female,SG,2882,0.8,5.3,11.9,Retail shop,Fruity,4,3,4,1,4,3,2,3,6,37.51,6.0
26,Female,CA,2665,1.1,6.8,17.1,Online-direct,Fruity,3,5,4,0,2,3,2,2,6,59.77,10.0
34,Female,AE,1964,4.1,5.3,12.2,Online-direct,"Dessert,Other",4,2,4,0,2,5,1,2,6,77.36,3.0
26,Female,DE,1649,2.9,6.1,11.2,Retail shop,"Beverage,Other",5,1,5,0,3,5,1,1,6,41.89,3.0
26,Female,CA,2581,0.6,2.1,2.6,Online-direct,"Fruity,Beverage",3,4,5,0,5,5,1,3,3,49.95,7.0
32,Female,AE,1857,2.7,4.4,16.1,Retail shop,Dessert,5,3,1,0,5,1,2,5,6,44.7,10.0
18,Female,SG,1337,3.7,5.2,0.0,Online-direct,"Spice,Other",4,1,1,1,5,1,1,5,6,37.64,10.0
18,Male,US,505,1.5,4.0,20.5,Online-direct,"Spice,Beverage",1,1,3,1,4,2,2,2,3,25.26,5.0
26,Prefer not to say,CA,1591,0.8,2.5,17.7,Online-direct,"Tobacco,Dessert,Other",5,1,3,0,3,2,1,2,3,28.8,7.0
